name,email,phone,website,venue_type
Ajax Creative,info@ajaxcreative.com,,https://www.ajaxcreative.com/post-production-company/office/san-diego,
Grace Does,howdy@gracedoes.com,,https://gracedoes.com/,
Brand Animators,info@brandanimators.com,'+1 346 697 7088,https://www.brandanimators.com/best-5-post-production-and-video-editing-companies-in-san-diego/,Video Production Company
Focus Media,mike@focusmediavp.com,(858) 295-7550,https://www.focusmediavp.com/,Video Production Studio
Blue Barn Creative,Contact@bluebarncreative.com,619-770-1896,https://bluebarncreative.com/,
San Diego Crew,info@sandiegocrew.com,,https://www.sandiegocrew.com/san-diego/post-production,
California Film Commission,,323.860.2960,https://film.ca.gov/tax-credit/diversity-equity-inclusion/filmmaker-production-resources/,Government Film Commission Office
UC San Diego Park & Market,unexeduc@ucsd.edu,858-534-9286,https://extendedstudies.ucsd.edu/courses/film-summit-filmmaker-talks-and-panels-hum-80001,
San Diego Film Office,Film@SanDiego.gov,(619) 685-1340,https://grokipedia.com/page/san_diego_film_commission,Government Film Office
San Diego Film Festival,,(619) 818-2221,https://sdfilmfest.com/,
"School of Theatre, Television, and Film",rmeffe@sdsu.edu,,https://ttf.sdsu.edu/,Academic Theatre
UC San Diego Cinematic Arts and Film Studies Program,cinematicarts@ucsd.edu,,https://cinematicarts.ucsd.edu/,Academic Program
MEDIA ARTS CENTER SAN DIEGO,info@mediaartscenter.org,619-230-1938,https://mediaartscenter.org/,Media Arts Center
Hynt Films,HELLO@HYNTFILMS.COM,,https://www.hyntfilms.com/,
Hale Production Studios,info@haleproductionstudios.com,,https://www.haleproductionstudios.com/,
Digital Gym Cinema,,(619) 230-1938 x 130,https://digitalgym.org/,Cinema
